,id,naturalness,next,final
0,0_2,natural,"[0.23568469285964966, 0.9056827425956726, 0.9547502994537354, 0.9077538251876831, 0.8986107110977173, 0.8779091238975525, 0.9206333756446838, 0.896647572517395, 0.889503002166748, 0.9493416547775269, 0.9523090124130249, 0.9636538028717041, 0.9522830247879028, 0.9716828465461731, 0.9609636068344116, 0.9622701406478882, 0.9673667550086975, 0.9643211364746094, 0.9281795024871826, 0.9562609195709229, 0.9713475108146667, 0.98526930809021, 0.9929547309875488, 0.9938398003578186, 0.9919685125350952, 0.9943844676017761, 0.9935389161109924, 0.9946973323822021, 0.9930154085159302, 0.9972083568572998, 0.997189462184906, 0.9933409094810486, 0.9964351654052734, 0.9913917779922485, 0.9981997609138489, 0.9986540675163269, 0.9989595413208008, 0.9992139339447021, 0.9991506338119507, 0.9992254972457886, 0.9990708231925964, 0.9993691444396973, 0.99936842918396, 0.9993133544921875, 0.9993351697921753, 0.9989866018295288, 0.9994930624961853, 0.9995361566543579, 0.9994989037513733, 0.9993549585342407]","[0.05697137117385864, 0.21729081869125366, 0.21620309352874756, 0.24162805080413818, 0.3160198926925659, 0.36331528425216675, 0.42654722929000854, 0.48306089639663696, 0.5443131327629089, 0.6010329723358154, 0.6298762559890747, 0.6585960984230042, 0.6476207971572876, 0.6881735920906067, 0.7219467163085938, 0.7315573692321777, 0.7462546825408936, 0.7494709491729736, 0.7671571373939514, 0.794236421585083, 0.8106905221939087, 0.8209307193756104, 0.8497892618179321, 0.8638424277305603, 0.8767526745796204, 0.8885096311569214, 0.8942082524299622, 0.8938305974006653, 0.9081642627716064, 0.9211759567260742, 0.923229992389679, 0.9273813962936401, 0.9289313554763794, 0.9328784942626953, 0.9485721588134766, 0.9567252397537231, 0.9626232385635376, 0.9670287370681763, 0.9711011648178101, 0.9755395650863647, 0.9792419075965881, 0.9818441867828369, 0.9843989610671997, 0.9870133399963379, 0.9904354810714722, 0.9918752312660217, 0.9948699474334717, 0.996790885925293, 0.9983317852020264, 0.9993549585342407]"
391,144_3,natural,"[0.3068189024925232, 0.946060836315155, 0.9274178743362427, 0.9050589799880981, 0.8202119469642639, 0.8753446340560913, 0.9182881116867065, 0.8671784996986389, 0.9270842671394348, 0.9559875726699829, 0.9785958528518677, 0.9699643850326538, 0.9698024988174438, 0.9779322147369385, 0.9656223058700562, 0.9756869077682495, 0.9846904277801514, 0.9803719520568848, 0.9920698404312134, 0.9913182258605957, 0.9935598969459534, 0.9943149089813232, 0.9919149279594421, 0.9905027151107788, 0.9939075708389282, 0.9948980808258057, 0.9945462942123413, 0.9963133931159973, 0.995625376701355, 0.9964654445648193, 0.9968980550765991, 0.99565589427948, 0.996182382106781, 0.9958204627037048, 0.9970901608467102, 0.9977936744689941, 0.9967626333236694, 0.9978935718536377, 0.9987883567810059, 0.9981932640075684, 0.9988135099411011, 0.9991164803504944, 0.9991768598556519, 0.9992185831069946, 0.9996423721313477, 0.9996739625930786, 0.9995764493942261, 0.999618411064148, 0.9995112419128418, 0.9995718002319336]","[0.07810056209564209, 0.07197308540344238, 0.10129308700561523, 0.15395265817642212, 0.2772918939590454, 0.48750078678131104, 0.49896931648254395, 0.5078344345092773, 0.5591892600059509, 0.622064471244812, 0.6310628056526184, 0.6506065130233765, 0.6782483458518982, 0.6898627877235413, 0.7043887376785278, 0.7410436868667603, 0.7470377683639526, 0.739289402961731, 0.7522805333137512, 0.7562896013259888, 0.7625716924667358, 0.7758999466896057, 0.7905145883560181, 0.8046401739120483, 0.8175405263900757, 0.8326201438903809, 0.8490092754364014, 0.866459846496582, 0.8809876441955566, 0.89400315284729, 0.9090135097503662, 0.9228320121765137, 0.9349085092544556, 0.9461947679519653, 0.9549863338470459, 0.9607858061790466, 0.9623458385467529, 0.9666765332221985, 0.9709163308143616, 0.9761026501655579, 0.9814687967300415, 0.9855272769927979, 0.9885658621788025, 0.9913226366043091, 0.9929003715515137, 0.9942517280578613, 0.9957438111305237, 0.9974404573440552, 0.998664140701294, 0.9995718002319336]"
390,144_0,natural,"[0.25765591859817505, 0.9534100890159607, 0.9469982385635376, 0.8164865970611572, 0.866443395614624, 0.8090628385543823, 0.9556907415390015, 0.9590027928352356, 0.9377310276031494, 0.9413198232650757, 0.9554533958435059, 0.9477270841598511, 0.9577982425689697, 0.9583882689476013, 0.9715662598609924, 0.9869580268859863, 0.9803846478462219, 0.9833213090896606, 0.9932470321655273, 0.9955230951309204, 0.9948421120643616, 0.994377613067627, 0.9942883253097534, 0.9965977072715759, 0.9966671466827393, 0.9975941777229309, 0.996467113494873, 0.9952911734580994, 0.9919018745422363, 0.9865792989730835, 0.9851564764976501, 0.998773455619812, 0.9990498423576355, 0.9993685483932495, 0.9994794726371765, 0.9995002746582031, 0.9993728399276733, 0.9985325336456299, 0.9991263151168823, 0.9995579719543457, 0.999588668346405, 0.9994398355484009, 0.9996678829193115, 0.9997472763061523, 0.9998241066932678, 0.9998193979263306, 0.999841570854187, 0.9998410940170288, 0.9997849464416504, 0.9997285604476929]","[0.008598148822784424, -0.0048743486404418945, 0.01951533555984497, 0.13057875633239746, 0.3665347099304199, 0.48952770233154297, 0.4890914559364319, 0.5778400897979736, 0.6183601021766663, 0.6926005482673645, 0.7512847185134888, 0.7296832799911499, 0.7407076954841614, 0.7535258531570435, 0.7921348810195923, 0.8039016127586365, 0.8204440474510193, 0.8534379601478577, 0.8716634511947632, 0.8795210719108582, 0.8914327621459961, 0.902752161026001, 0.9108743667602539, 0.9168506860733032, 0.9210687875747681, 0.9293206930160522, 0.9369305372238159, 0.94359290599823, 0.9468246698379517, 0.9507078528404236, 0.9370244741439819, 0.9633542895317078, 0.9658358097076416, 0.9690098762512207, 0.9726676940917969, 0.9745830297470093, 0.9767191410064697, 0.9790054559707642, 0.9850015640258789, 0.9877852201461792, 0.989654004573822, 0.9918736219406128, 0.9941149950027466, 0.9955160617828369, 0.9965975284576416, 0.9974191188812256, 0.9981082081794739, 0.9987282752990723, 0.9993127584457397, 0.9997285604476929]"
385,143_8,natural,"[0.14631438255310059, 0.9717990159988403, 0.9249602556228638, 0.9064420461654663, 0.8887957334518433, 0.9335896968841553, 0.9266490936279297, 0.9376598596572876, 0.9281712174415588, 0.9242606163024902, 0.9427214860916138, 0.961807131767273, 0.9507662057876587, 0.962320864200592, 0.9561631679534912, 0.978359580039978, 0.964592456817627, 0.9564614295959473, 0.9803682565689087, 0.9866282939910889, 0.9819517135620117, 0.9831106662750244, 0.984140932559967, 0.9878959059715271, 0.9902942776679993, 0.991630494594574, 0.9925706386566162, 0.9939059019088745, 0.9948383569717407, 0.9956255555152893, 0.9957112073898315, 0.994469404220581, 0.9970830678939819, 0.9972821474075317, 0.9966425895690918, 0.9965659379959106, 0.9981305599212646, 0.9977325201034546, 0.9985356330871582, 0.9991272687911987, 0.9992934465408325, 0.9992801547050476, 0.9991324543952942, 0.9991976618766785, 0.9993500709533691, 0.999351978302002, 0.9994775056838989, 0.9994217157363892, 0.999278724193573, 0.9993692636489868]","[0.02269160747528076, 0.1344342827796936, 0.14837676286697388, 0.20585918426513672, 0.2956997752189636, 0.40270888805389404, 0.44383907318115234, 0.5307801961898804, 0.5845807194709778, 0.6347955465316772, 0.6562891602516174, 0.6827014088630676, 0.6994606256484985, 0.7138633131980896, 0.7368028163909912, 0.7517808675765991, 0.757024884223938, 0.7585615515708923, 0.7482152581214905, 0.7533942461013794, 0.7734207510948181, 0.8038527965545654, 0.8127517700195312, 0.8335443139076233, 0.8468966484069824, 0.8656046390533447, 0.883659839630127, 0.8936773538589478, 0.9049440622329712, 0.9148442149162292, 0.9190810322761536, 0.9214649200439453, 0.9214916229248047, 0.9273561239242554, 0.9342160820960999, 0.938632071018219, 0.9429463744163513, 0.9497494697570801, 0.957850456237793, 0.9639447927474976, 0.9684590101242065, 0.9735586643218994, 0.978419303894043, 0.982418417930603, 0.9868782162666321, 0.9904176592826843, 0.9935488700866699, 0.9959341287612915, 0.9979789853096008, 0.9993692636489868]"
384,143_2,natural,"[0.17249655723571777, 0.9616870880126953, 0.9446347951889038, 0.9041391611099243, 0.7751070857048035, 0.8610994815826416, 0.9175299406051636, 0.914189338684082, 0.9628601670265198, 0.96363365650177, 0.9697009921073914, 0.9665260314941406, 0.9646430611610413, 0.9858505725860596, 0.9748520851135254, 0.9688174724578857, 0.9833208322525024, 0.9773387908935547, 0.9802809953689575, 0.9886946678161621, 0.9890090227127075, 0.9897315502166748, 0.993666410446167, 0.9948844313621521, 0.9952642917633057, 0.996274471282959, 0.9967556595802307, 0.997449517250061, 0.997145414352417, 0.997633695602417, 0.9967994689941406, 0.9980003833770752, 0.9984389543533325, 0.9989900588989258, 0.9991235136985779, 0.9989830255508423, 0.9986110329627991, 0.9983494281768799, 0.9990270733833313, 0.9988619089126587, 0.9993435144424438, 0.9990730881690979, 0.9995105266571045, 0.9995423555374146, 0.9993107914924622, 0.9994940161705017, 0.9994593262672424, 0.9994245767593384, 0.9994405508041382, 0.9993475675582886]","[0.045784175395965576, 0.14105820655822754, 0.14213144779205322, 0.1685429811477661, 0.2248084545135498, 0.3784554600715637, 0.4933207035064697, 0.5379754304885864, 0.607873797416687, 0.6322274208068848, 0.6346614360809326, 0.667460560798645, 0.7007014751434326, 0.6845346093177795, 0.6764573454856873, 0.7072588801383972, 0.7281804084777832, 0.7364581823348999, 0.7466756105422974, 0.764289379119873, 0.791340708732605, 0.8176978230476379, 0.8367449641227722, 0.8464745283126831, 0.8531963229179382, 0.8598525524139404, 0.8648768663406372, 0.8713672757148743, 0.8792445063591003, 0.8857114315032959, 0.8934851884841919, 0.904860258102417, 0.9131572246551514, 0.9212877750396729, 0.9275112152099609, 0.9348776340484619, 0.9408022165298462, 0.949705183506012, 0.9569869637489319, 0.9626792073249817, 0.9684442281723022, 0.9738789200782776, 0.9788679480552673, 0.9830572605133057, 0.9869951605796814, 0.9907194375991821, 0.9935693144798279, 0.9962890148162842, 0.9979321360588074, 0.9993475675582886]"
383,142_6,natural,"[0.20922613143920898, 0.9618496894836426, 0.9536067247390747, 0.9470608234405518, 0.9163873195648193, 0.8707402944564819, 0.8725199699401855, 0.9073529243469238, 0.9232860803604126, 0.9615237712860107, 0.9504557847976685, 0.9637490510940552, 0.9383588433265686, 0.9604392647743225, 0.9301397204399109, 0.9618825316429138, 0.9761373996734619, 0.9729333519935608, 0.982474684715271, 0.9880189895629883, 0.9766998291015625, 0.9787936806678772, 0.9834805727005005, 0.9900348782539368, 0.9935351610183716, 0.9966060519218445, 0.9965860843658447, 0.9962345361709595, 0.9944800138473511, 0.9989092946052551, 0.9990398287773132, 0.9992398023605347, 0.9990283250808716, 0.999411404132843, 0.9994001388549805, 0.9994338750839233, 0.9996092915534973, 0.999556839466095, 0.9996263384819031, 0.9996280670166016, 0.9996737837791443, 0.9996359944343567, 0.9994766712188721, 0.9993777275085449, 0.9996984004974365, 0.9996552467346191, 0.9996610879898071, 0.999543309211731, 0.9991756677627563, 0.9994363188743591]","[0.07182192802429199, 0.25271010398864746, 0.2941722273826599, 0.34289979934692383, 0.3953774571418762, 0.46876734495162964, 0.4806848168373108, 0.4500523805618286, 0.5101588368415833, 0.579766035079956, 0.6031959652900696, 0.611263632774353, 0.6272703409194946, 0.6685293912887573, 0.6769647598266602, 0.6740128397941589, 0.6643992066383362, 0.6998513340950012, 0.7453297972679138, 0.7729206681251526, 0.7956026792526245, 0.811887264251709, 0.8609861731529236, 0.8811972141265869, 0.904212236404419, 0.9185757637023926, 0.9267630577087402, 0.9313415288925171, 0.9311076402664185, 0.9422567486763, 0.9469023942947388, 0.9518663883209229, 0.9567126035690308, 0.9624663591384888, 0.9666756391525269, 0.9706488847732544, 0.9740825891494751, 0.9765666723251343, 0.9793421030044556, 0.9811487793922424, 0.9830465912818909, 0.9849129915237427, 0.987329363822937, 0.9890813827514648, 0.9913846254348755, 0.9931478500366211, 0.9944497346878052, 0.9961165189743042, 0.9978605508804321, 0.9994363188743591]"
382,142_5,natural,"[0.23308312892913818, 0.9160860180854797, 0.8762263059616089, 0.924789309501648, 0.9132362604141235, 0.7554891109466553, 0.9181830883026123, 0.9715398550033569, 0.965260922908783, 0.9763956069946289, 0.9851555228233337, 0.9899016618728638, 0.9867082238197327, 0.9864621758460999, 0.9832485914230347, 0.9811596870422363, 0.9866625070571899, 0.9811037182807922, 0.9854283332824707, 0.9885138273239136, 0.9891130924224854, 0.9834895133972168, 0.9877936840057373, 0.9877139329910278, 0.9927276968955994, 0.9891784191131592, 0.9844416975975037, 0.9839498996734619, 0.9839612245559692, 0.9866001605987549, 0.9760144352912903, 0.9876914620399475, 0.9867936372756958, 0.9897645711898804, 0.9920729398727417, 0.9981575608253479, 0.9991295337677002, 0.9991322755813599, 0.9992053508758545, 0.9992190599441528, 0.9995124340057373, 0.9995298385620117, 0.9996522665023804, 0.9996582865715027, 0.999703586101532, 0.9996813535690308, 0.9996625185012817, 0.999603807926178, 0.9993856549263, 0.9992953538894653]","[0.06063812971115112, 0.23559236526489258, 0.31758952140808105, 0.33457475900650024, 0.3496955633163452, 0.38084709644317627, 0.5620282888412476, 0.5955138206481934, 0.6332682371139526, 0.6645626425743103, 0.6884456872940063, 0.7001552581787109, 0.7054561376571655, 0.7175420522689819, 0.7285563349723816, 0.7426086664199829, 0.7716237306594849, 0.791852593421936, 0.7956680059432983, 0.8018543720245361, 0.8138458728790283, 0.8284838199615479, 0.8464210033416748, 0.8603235483169556, 0.8709203004837036, 0.887732207775116, 0.9025164842605591, 0.9005014896392822, 0.8845940232276917, 0.8672692775726318, 0.8704248666763306, 0.9066166877746582, 0.9344884157180786, 0.9484378099441528, 0.9433732032775879, 0.9590364694595337, 0.9633408188819885, 0.9677696228027344, 0.9725987911224365, 0.9767394065856934, 0.980140209197998, 0.9829924702644348, 0.9856476783752441, 0.9881157875061035, 0.9904665350914001, 0.9923198223114014, 0.9943246245384216, 0.9960333108901978, 0.9977430105209351, 0.9992953538894653]"
381,142_1,natural,"[0.2584521770477295, 0.9125256538391113, 0.9451344013214111, 0.9271896481513977, 0.9126627445220947, 0.921723484992981, 0.9084012508392334, 0.9119102954864502, 0.9359750151634216, 0.96763676404953, 0.9719237089157104, 0.9641259908676147, 0.9666779041290283, 0.9347400069236755, 0.9307233691215515, 0.9806927442550659, 0.9793147444725037, 0.9868428707122803, 0.9859703779220581, 0.9813462495803833, 0.9797527194023132, 0.974946141242981, 0.9670776724815369, 0.9875108003616333, 0.9909625053405762, 0.9895831346511841, 0.9948410987854004, 0.9969771504402161, 0.998583972454071, 0.998807966709137, 0.9991516470909119, 0.9991077780723572, 0.9989410638809204, 0.9989081025123596, 0.9989373683929443, 0.99833744764328, 0.9992501139640808, 0.9990053772926331, 0.9990185499191284, 0.998913049697876, 0.9994510412216187, 0.9995196461677551, 0.998913586139679, 0.9982410669326782, 0.9995503425598145, 0.9996479153633118, 0.9978123903274536, 0.9995206594467163, 0.999438464641571, 0.9994523525238037]","[0.05016064643859863, 0.1858839988708496, 0.2393280267715454, 0.27519822120666504, 0.32512766122817993, 0.39594048261642456, 0.4083636999130249, 0.44742393493652344, 0.47945231199264526, 0.5321669578552246, 0.5780133008956909, 0.6041060090065002, 0.6221666932106018, 0.6272544860839844, 0.6431382894515991, 0.6900229454040527, 0.71547532081604, 0.7454012632369995, 0.7691264152526855, 0.8002771139144897, 0.8147104978561401, 0.8177908658981323, 0.8533200621604919, 0.8699229955673218, 0.8836219906806946, 0.9018835425376892, 0.9140733480453491, 0.9262797832489014, 0.9374425411224365, 0.9449349045753479, 0.9508593082427979, 0.956364631652832, 0.9609377980232239, 0.9658317565917969, 0.9699091911315918, 0.9732341170310974, 0.9757753610610962, 0.9789339303970337, 0.9827583432197571, 0.9855129718780518, 0.9871376752853394, 0.9885444641113281, 0.9899977445602417, 0.9922864437103271, 0.9923930168151855, 0.994452714920044, 0.9954871535301208, 0.997050404548645, 0.9984928369522095, 0.9994523525238037]"
380,142_0,natural,"[0.22324419021606445, 0.943717896938324, 0.9603045582771301, 0.9438508152961731, 0.9464700222015381, 0.927973747253418, 0.9227539896965027, 0.8797005414962769, 0.8623886704444885, 0.943273663520813, 0.9476966857910156, 0.9694199562072754, 0.9729470610618591, 0.9761595129966736, 0.9829058647155762, 0.9751583933830261, 0.9753782153129578, 0.9833835363388062, 0.9897933006286621, 0.996023416519165, 0.9961967468261719, 0.9956996440887451, 0.9935044646263123, 0.9888027906417847, 0.9935391545295715, 0.9809072613716125, 0.9966061115264893, 0.995747447013855, 0.9961971640586853, 0.9956001043319702, 0.9949027299880981, 0.9959556460380554, 0.9966704845428467, 0.997734785079956, 0.9943917989730835, 0.996467649936676, 0.9982784390449524, 0.9990313053131104, 0.9991289377212524, 0.9991883039474487, 0.9993265271186829, 0.9994716644287109, 0.9992773532867432, 0.9993323087692261, 0.9990320205688477, 0.9990293979644775, 0.9994553327560425, 0.9994332194328308, 0.9992941617965698, 0.9990360736846924]","[0.047797560691833496, 0.22952735424041748, 0.29017674922943115, 0.3385288715362549, 0.3861398696899414, 0.43429309129714966, 0.4821910858154297, 0.5071144104003906, 0.5952174067497253, 0.6065510511398315, 0.6441715955734253, 0.6907402276992798, 0.7127060294151306, 0.725633978843689, 0.761493980884552, 0.7829989790916443, 0.7937580347061157, 0.8032227754592896, 0.8301867842674255, 0.8505488634109497, 0.8595330715179443, 0.8673713207244873, 0.8787044286727905, 0.893822431564331, 0.9035630226135254, 0.9088212251663208, 0.9235472679138184, 0.9314640164375305, 0.9383469820022583, 0.9414462447166443, 0.9441031217575073, 0.9458898305892944, 0.9524314403533936, 0.9566510915756226, 0.9582279324531555, 0.9552494287490845, 0.9567867517471313, 0.9589591026306152, 0.9600036144256592, 0.9620637893676758, 0.9659255146980286, 0.9700908660888672, 0.9742222428321838, 0.9799914956092834, 0.9848325252532959, 0.9886388182640076, 0.9925099015235901, 0.995025634765625, 0.9972649812698364, 0.9990360736846924]"
379,141_3,natural,"[0.28392237424850464, 0.9658214449882507, 0.9544334411621094, 0.9542160630226135, 0.9439094662666321, 0.8716431856155396, 0.8231422305107117, 0.8446618318557739, 0.9235820174217224, 0.8943036794662476, 0.9317494630813599, 0.9067602157592773, 0.8116008043289185, 0.9483675956726074, 0.943794310092926, 0.9301962852478027, 0.9543077945709229, 0.9749484062194824, 0.9698327779769897, 0.9835723042488098, 0.9818004965782166, 0.9841673374176025, 0.9880792498588562, 0.9815530776977539, 0.9905279874801636, 0.9922634363174438, 0.9900259375572205, 0.993384838104248, 0.9962235689163208, 0.9976673722267151, 0.9979863166809082, 0.9982813000679016, 0.9983246326446533, 0.9988911151885986, 0.9984649419784546, 0.9964601993560791, 0.9982132315635681, 0.9990651607513428, 0.9992613196372986, 0.999614417552948, 0.9991938471794128, 0.9984626770019531, 0.9987081289291382, 0.9995372295379639, 0.9997144341468811, 0.9997453093528748, 0.9997894763946533, 0.9997656345367432, 0.9996744990348816, 0.9996663331985474]","[0.1660771369934082, 0.3925331234931946, 0.40363800525665283, 0.42779308557510376, 0.4619523882865906, 0.4998652935028076, 0.42573416233062744, 0.4509192705154419, 0.5286049246788025, 0.5430984497070312, 0.6320939660072327, 0.6642035841941833, 0.6478408575057983, 0.6186431646347046, 0.624139666557312, 0.6514827609062195, 0.7082598209381104, 0.7641301155090332, 0.8119368553161621, 0.8469007611274719, 0.8603018522262573, 0.8566953539848328, 0.8798888921737671, 0.901609480381012, 0.9031445384025574, 0.9077305197715759, 0.9185932874679565, 0.9314284324645996, 0.940108060836792, 0.9451439380645752, 0.9506533741950989, 0.9553087949752808, 0.960693359375, 0.96638423204422, 0.9709385633468628, 0.9763509035110474, 0.9788062572479248, 0.9824353456497192, 0.9847259521484375, 0.9865981936454773, 0.9883269667625427, 0.9900131821632385, 0.9916086792945862, 0.993452250957489, 0.994977593421936, 0.9963995218276978, 0.997483491897583, 0.9983800649642944, 0.9990224838256836, 0.9996663331985474]"
