,id,naturalness,next,final
0,0_2,natural,"[0.24512815475463867, 0.6645556688308716, 0.6720987558364868, 0.8588919043540955, 0.8597341179847717, 0.8810091614723206, 0.8634316325187683, 0.9541436433792114, 0.9671440720558167, 0.9804729223251343, 0.9764366149902344, 0.9825225472450256, 0.9942308664321899, 0.9950896501541138, 0.9963454604148865, 0.9962977170944214]","[0.05264317989349365, 0.2398473620414734, 0.4273648262023926, 0.6056640148162842, 0.6516429781913757, 0.7351478338241577, 0.7669750452041626, 0.8265936374664307, 0.8819090127944946, 0.899559736251831, 0.9285982847213745, 0.9392545819282532, 0.9688615798950195, 0.9807919859886169, 0.9896206855773926, 0.9962977170944214]"
391,144_3,natural,"[0.2673256993293762, 0.5297259092330933, 0.753075122833252, 0.9197656512260437, 0.9263926148414612, 0.9340401291847229, 0.9617353081703186, 0.9612376689910889, 0.9696433544158936, 0.9773629903793335, 0.9764642715454102, 0.9848355054855347, 0.9906396269798279, 0.9929884672164917, 0.9959304332733154, 0.9976369142532349]","[0.07213860750198364, 0.154732346534729, 0.5022566318511963, 0.6277754902839661, 0.684585690498352, 0.7479459643363953, 0.7573993802070618, 0.7821136116981506, 0.823834240436554, 0.8734668493270874, 0.9153634309768677, 0.951167106628418, 0.9666942358016968, 0.9801572561264038, 0.9916597008705139, 0.9976369142532349]"
390,144_0,natural,"[0.21869397163391113, 0.46728336811065674, 0.7995755076408386, 0.8614755868911743, 0.9284675121307373, 0.9461976289749146, 0.9730327725410461, 0.9815909266471863, 0.9831498861312866, 0.9648510217666626, 0.985005795955658, 0.9968032836914062, 0.9951127171516418, 0.9972283840179443, 0.9983354210853577, 0.9990634322166443]","[0.003987252712249756, 0.12922775745391846, 0.487423837184906, 0.6930974125862122, 0.7421464920043945, 0.805591344833374, 0.8744770288467407, 0.9052233695983887, 0.9237215518951416, 0.9458892345428467, 0.9397779703140259, 0.9714800119400024, 0.9788881540298462, 0.9899610280990601, 0.9961405992507935, 0.9990634322166443]"
385,143_8,natural,"[0.1499652862548828, 0.6686958074569702, 0.7405699491500854, 0.83967524766922, 0.8323423862457275, 0.9055739641189575, 0.939140260219574, 0.9361131191253662, 0.9568887948989868, 0.9760351181030273, 0.9782309532165527, 0.9832112789154053, 0.9902142882347107, 0.9953842163085938, 0.9955769777297974, 0.9960891008377075]","[0.019060730934143066, 0.20590341091156006, 0.44492846727371216, 0.638812243938446, 0.7072703242301941, 0.7589056491851807, 0.7574959397315979, 0.8131184577941895, 0.8576608300209045, 0.9032666087150574, 0.9281525611877441, 0.9365004897117615, 0.9528795480728149, 0.9730219841003418, 0.9861145615577698, 0.9960891008377075]"
384,143_2,natural,"[0.17570644617080688, 0.5116090774536133, 0.7885857820510864, 0.8690823912620544, 0.9357579946517944, 0.9223603010177612, 0.9357881546020508, 0.9630156755447388, 0.9775688052177429, 0.9843564033508301, 0.9857997894287109, 0.9939906597137451, 0.9914767742156982, 0.9947189688682556, 0.996315062046051, 0.9963089823722839]","[0.04310578107833862, 0.17068839073181152, 0.4969644546508789, 0.6392872333526611, 0.7091159224510193, 0.7169926166534424, 0.754639744758606, 0.8269590139389038, 0.863101601600647, 0.8821778893470764, 0.9053633809089661, 0.9330388307571411, 0.9517926573753357, 0.9721183776855469, 0.9867151379585266, 0.9963089823722839]"
383,142_6,natural,"[0.17898672819137573, 0.6856284737586975, 0.7276631593704224, 0.8628187775611877, 0.8540033102035522, 0.9161167144775391, 0.9195480346679688, 0.9258049726486206, 0.9771978259086609, 0.9920478463172913, 0.9942959547042847, 0.9960345029830933, 0.9977432489395142, 0.9981852769851685, 0.9980536103248596, 0.9979687929153442]","[0.07098990678787231, 0.3470967411994934, 0.48715531826019287, 0.5835512280464172, 0.6315951347351074, 0.6817908883094788, 0.7518660426139832, 0.8204939961433411, 0.9126035571098328, 0.9386029243469238, 0.9534798264503479, 0.9692386388778687, 0.9804209470748901, 0.9875401854515076, 0.9933555722236633, 0.9979687929153442]"
382,142_5,natural,"[0.14780688285827637, 0.6434355974197388, 0.8317884206771851, 0.9285775423049927, 0.9298174381256104, 0.928868293762207, 0.9611135721206665, 0.9417766332626343, 0.9484835267066956, 0.9402786493301392, 0.932857871055603, 0.9816592931747437, 0.9945762157440186, 0.996464729309082, 0.9979718923568726, 0.9976793527603149]","[0.05918097496032715, 0.33740538358688354, 0.5683315992355347, 0.6726212501525879, 0.7120097875595093, 0.7504717111587524, 0.8038901090621948, 0.8359301686286926, 0.8798431754112244, 0.9095215201377869, 0.8764375448226929, 0.9565114974975586, 0.9712938070297241, 0.984220564365387, 0.9925673007965088, 0.9976793527603149]"
381,142_1,natural,"[0.20529425144195557, 0.7274746894836426, 0.7412799000740051, 0.8802902698516846, 0.877308189868927, 0.9011191725730896, 0.9028618335723877, 0.9111682176589966, 0.961911678314209, 0.9888105392456055, 0.9935781955718994, 0.9914783239364624, 0.9945597648620605, 0.9963721036911011, 0.9975812435150146, 0.9963181614875793]","[0.05071234703063965, 0.27602487802505493, 0.41093921661376953, 0.5355772972106934, 0.6272984743118286, 0.6958867311477661, 0.7727984189987183, 0.8211879134178162, 0.8895186185836792, 0.9311645030975342, 0.9552086591720581, 0.9695465564727783, 0.9797247648239136, 0.9897261261940002, 0.9935241937637329, 0.9963181614875793]"
380,142_0,natural,"[0.17200201749801636, 0.7180624604225159, 0.7191001176834106, 0.8357361555099487, 0.9064174890518188, 0.9366211295127869, 0.9689908027648926, 0.9591419696807861, 0.9677126407623291, 0.9804559946060181, 0.9903669357299805, 0.9864073395729065, 0.9930880069732666, 0.9962031245231628, 0.9949206113815308, 0.9959268569946289]","[0.0434798002243042, 0.3383275866508484, 0.48896294832229614, 0.6195776462554932, 0.7227400541305542, 0.7954268455505371, 0.8412123322486877, 0.8787627220153809, 0.914210855960846, 0.9425625205039978, 0.9555732607841492, 0.9670315384864807, 0.9688786268234253, 0.9742802381515503, 0.9850903153419495, 0.9959268569946289]"
379,141_3,natural,"[0.2475469708442688, 0.7821683883666992, 0.7330476641654968, 0.7648442983627319, 0.8049266338348389, 0.8220521807670593, 0.9246760010719299, 0.9505797028541565, 0.9597498178482056, 0.9800052046775818, 0.9899188876152039, 0.9903551340103149, 0.994875431060791, 0.996527910232544, 0.9972615242004395, 0.998706579208374]","[0.16329997777938843, 0.4270694851875305, 0.42571520805358887, 0.5456077456474304, 0.6500235199928284, 0.6548081040382385, 0.8150073289871216, 0.8594464659690857, 0.9058533906936646, 0.9354211688041687, 0.9545723795890808, 0.9699133038520813, 0.9823249578475952, 0.9900680780410767, 0.9944887161254883, 0.998706579208374]"
